"category", "problem", "population", "xover_method", "xover_rate", "mut_rate", "mut_method", "mut_param", "sel_method", "sel_param", "fitness"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "201"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "206"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "203"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "200"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "201"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "201"
"crafted", "brock800_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "204"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "8"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "4"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "6"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "33"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "26"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
"crafted", "c-fat200-2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "32"
