"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"industrial", "b15-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "367130"
"industrial", "c1_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "223877"
"industrial", "c1_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "223671"
"industrial", "c1_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "223691"
"industrial", "c2_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "229766"
"industrial", "c2_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "230001"
"industrial", "c2_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "229910"
"industrial", "c4_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "478104"
"industrial", "c4_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "478296"
"industrial", "c4_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "268652"
"industrial", "c4_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "477890"
"industrial", "c4_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "268751"
"industrial", "c5_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "111918"
"industrial", "c5_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "112458"
"industrial", "c5_DD_s3_f1_e1_v2-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "112330"
"industrial", "c4_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "268219"
"industrial", "c5_DD_s3_f1_e1_v2-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "112347"
"industrial", "c5_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "112337"
"industrial", "c6_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "173865"
"industrial", "c6_DD_s3_f1_e1_v1-bug-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "173990"
