@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

output,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160111.0004,358,183,139,44,0,75.956284,24.043716,0,0.533461,0.10606,0.217695,66.515566,77.906788,236.176688,161.233294,74.943394,1.290583,0.881056,0.409527,91.262306,0.498701,6318.598884,0.702703,52,0.174312,19,0.825688,90,0.297297,22,0.732394,0.702703,0.717241,0.852591,0.759563,0.227992,0.772008,0.240437,0.712143,0.759563,0.733748,0.854221,148.834,0.078,148.68,0.07,442871,94310,51435,?
output,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0009,357,184,143,41,0,77.717391,22.282609,0,0.569603,0.102303,0.214606,64.006996,76.431435,246.778295,159.859269,86.919026,1.341186,0.8688,0.472386,101.495192,0.551604,7158.995298,0.702703,52,0.172727,19,0.827273,91,0.297297,22,0.732394,0.702703,0.717241,0.854914,0.777174,0.205715,0.794285,0.222826,0.723465,0.777174,0.747862,0.889446,296.463,0.13,295.99,0.12,835357,94065,51680,?
output,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0015,357,184,135,49,0,73.369565,26.630435,0,0.482077,0.110121,0.230958,68.918634,82.30324,242.960166,189.235142,53.725024,1.320436,1.028452,0.291984,87.194003,0.47388,6103.721205,0.662162,49,0.154545,17,0.845455,93,0.337838,25,0.742424,0.662162,0.7,0.803931,0.733696,0.260334,0.739666,0.266304,0.686756,0.733696,0.705636,0.832958,343.917,0.134,312.81,0.12,835357,94065,51680,?
output,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0021,357,184,128,56,0,69.565217,30.434783,0,0.412141,0.112428,0.243036,70.362293,86.607244,242.960166,206.515212,36.444955,1.320436,1.122365,0.19807,80.85044,0.439405,5659.661515,0.621622,46,0.227273,25,0.772727,85,0.378378,28,0.647887,0.621622,0.634483,0.770025,0.695652,0.28339,0.71661,0.304348,0.647058,0.695652,0.669143,0.79688,348.749,0.141,321.19,0.12,835357,94065,51680,?
output,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0026,359,182,138,44,0,75.824176,24.175824,0,0.529301,0.105934,0.231271,66.45413,82.80206,234.82441,174.05844,60.765969,1.290244,0.956365,0.333879,91.405095,0.502226,6329.748719,0.671233,49,0.183486,20,0.816514,89,0.328767,24,0.710145,0.671233,0.690141,0.76373,0.758242,0.227442,0.772558,0.241758,0.708936,0.758242,0.731062,0.812449,329.26,0.13,317.92,0.12,835357,94555,51190,?
output,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0031,356,185,132,53,0,71.351351,28.648649,0,0.452082,0.105045,0.238878,65.605431,84.7661,250.733714,211.231637,39.502077,1.355317,1.141793,0.213525,97.246939,0.525659,6894.124402,0.648649,48,0.243243,27,0.756757,84,0.351351,26,0.64,0.648649,0.644295,0.781227,0.713514,0.255607,0.744393,0.286486,0.660521,0.713514,0.685577,0.831291,314.806,0.132,309.44,0.11,835357,93820,51925,?
output,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0037,358,183,143,40,0,78.142077,21.857923,0,0.576462,0.10823,0.222264,67.856385,79.495106,239.994816,169.51423,70.480587,1.311447,0.926307,0.38514,87.695471,0.47921,6117.300968,0.72973,54,0.165138,18,0.834862,91,0.27027,20,0.75,0.72973,0.739726,0.834057,0.781421,0.205382,0.794618,0.218579,0.732659,0.781421,0.755212,0.851828,315.491,0.134,311.77,0.12,835357,94310,51435,?
output,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0042,357,184,130,54,0,70.652174,29.347826,0,0.436223,0.113847,0.237209,71.22977,84.481238,246.778295,192.832836,53.945459,1.341186,1.048005,0.293182,78.40633,0.426121,5530.415107,0.689189,51,0.218182,24,0.781818,86,0.310811,23,0.68,0.689189,0.684564,0.795332,0.706522,0.273541,0.726459,0.293478,0.659497,0.706522,0.681846,0.807072,304.487,0.341,301.57,0.12,835357,94065,51680,?
output,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0047,357,184,132,52,0,71.73913,28.26087,0,0.462955,0.112899,0.234678,70.654999,83.625419,243.960166,182.276139,61.684028,1.32587,0.990631,0.335239,82.191557,0.446693,5761.906664,0.72973,54,0.263636,29,0.736364,81,0.27027,20,0.650602,0.72973,0.687898,0.810442,0.717391,0.24847,0.75153,0.282609,0.672977,0.717391,0.694177,0.823803,302.638,0.128,299.53,0.11,835357,94065,51680,?
output,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D',-5990607817048210779,20160111.0052,357,184,135,49,0,73.369565,26.630435,0,0.477757,0.103807,0.22961,64.966781,81.822903,242.960166,186.602139,56.358027,1.320436,1.014142,0.306294,94.683838,0.514586,6628.021791,0.594595,44,0.145455,16,0.854545,94,0.405405,30,0.733333,0.594595,0.656716,0.815233,0.733696,0.262871,0.737129,0.266304,0.685794,0.733696,0.700757,0.84247,304.787,0.141,302.61,0.13,835357,94065,51680,?
