"category","problem","MH","avg_fit","Opt"
"crafted","brock200_1.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",243.53333333333333,"238"
"crafted","brock200_1.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",250.4,"238"
"crafted","brock200_1.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",245.06666666666666,"238"
"crafted","brock200_1.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",244,"238"
"crafted","brock200_1.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",251.66666666666666,"238"
"crafted","brock200_1.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",245.13333333333333,"238"
"crafted","brock200_1.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",252.46666666666667,"238"
"crafted","brock200_2.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",170.6,"141"
"crafted","brock200_2.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",175.86666666666667,"141"
"crafted","brock200_2.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",143.8,"141"
"crafted","brock200_2.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",145.13333333333333,"141"
"crafted","brock200_2.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",148.66666666666666,"141"
"crafted","brock200_2.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",172.93333333333334,"141"
"crafted","brock200_2.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",163.86666666666667,"141"
"crafted","brock200_2.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",146.8,"141"
"crafted","brock200_2.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",156,"141"
"crafted","brock200_2.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",149.26666666666668,"141"
"crafted","brock200_2.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",147.93333333333334,"141"
"crafted","brock200_2.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",158.73333333333332,"141"
"crafted","brock200_2.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",149.33333333333334,"141"
"crafted","brock200_2.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",160.4,"141"
"crafted","brock200_3.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",238.4,"214"
"crafted","brock200_3.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",241.4,"214"
"crafted","brock200_3.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",218.66666666666666,"214"
"crafted","brock200_3.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",217.73333333333332,"214"
"crafted","brock200_3.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",223.53333333333333,"214"
"crafted","brock200_3.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",239.13333333333333,"214"
