"category","problem","best_fit","Opt"
"crafted","p_hat700-1.clq.cnf",64.14285714285714,"63"
"crafted","p_hat700-2.clq.cnf",156.07142857142858,"154"
"crafted","p_hat700-3.clq.cnf",270,"267"
"crafted","san1000.clq.cnf",141,"139"
"crafted","san200_0.7_1.clq.cnf",238.85714285714286,"237"
"crafted","san200_0.7_2.clq.cnf",238,"236"
"crafted","san200_0.9_1.clq.cnf",314.35714285714283,"313"
"crafted","san200_0.9_2.clq.cnf",318.42857142857144,"316"
"crafted","san200_0.9_3.clq.cnf",322.7142857142857,"320"
"crafted","san400_0.5_1.clq.cnf",147.07142857142858,"146"
"crafted","san400_0.7_1.clq.cnf",238.35714285714286,"236"
"crafted","san400_0.7_2.clq.cnf",239.5,"236"
"crafted","san400_0.7_3.clq.cnf",232,"230"
"crafted","san400_0.9_1.clq.cnf",306.14285714285717,"304"
"crafted","sanr200_0.7.clq.cnf",229.35714285714286,"227"
"crafted","sanr200_0.9.clq.cnf",302.2857142857143,"300"
"crafted","sanr400_0.5.clq.cnf",149.5,"148"
"crafted","sanr400_0.7.clq.cnf",227.57142857142858,"223"
"crafted","scpclr10_maxsat.cnf",34.13333333333333,"25"
"crafted","scpclr11_maxsat.cnf",61.266666666666666,
"crafted","scpclr12_maxsat.cnf",169.2,
"crafted","scpclr13_maxsat.cnf",288.26666666666665,
"crafted","scpcyc06_maxsat.cnf",68.35714285714286,
"crafted","scpcyc07_maxsat.cnf",188.86666666666667,
"crafted","scpcyc08_maxsat.cnf",514.2666666666667,
"crafted","scpcyc09_maxsat.cnf",1314.0666666666666,
"crafted","scpcyc10_maxsat.cnf",3148.6,
"crafted","scpcyc11_maxsat.cnf",7226.333333333333,
"crafted","t3pm3-5555.spn.cnf",17,"17"
"crafted","t4pm3-6666.spn.cnf",45.285714285714285,"38"
"crafted","t5pm3-7777.spn.cnf",90.85714285714286,"78"
"crafted","t6pm3-8888.spn.cnf",173.33333333333334,"136"
"crafted","t7pm3-9999.spn.cnf",295.53333333333336,
"random","HG-3SAT-V250-C1000-1.cnf",31.6,
"random","HG-3SAT-V250-C1000-10.cnf",33.13333333333333,
"random","HG-3SAT-V250-C1000-100.cnf",32.733333333333334,
"random","HG-3SAT-V250-C1000-11.cnf",32.8,
"random","HG-3SAT-V250-C1000-12.cnf",32,
"random","HG-3SAT-V250-C1000-13.cnf",31.133333333333333,
"random","HG-3SAT-V250-C1000-14.cnf",32.333333333333336,
"random","HG-3SAT-V250-C1000-15.cnf",34.266666666666666,
"random","HG-3SAT-V250-C1000-16.cnf",31.866666666666667,
"random","HG-3SAT-V250-C1000-17.cnf",32.4,
"random","HG-3SAT-V250-C1000-18.cnf",30.8,
"random","HG-3SAT-V250-C1000-19.cnf",32.8,
"random","HG-3SAT-V250-C1000-2.cnf",30.866666666666667,
"random","HG-3SAT-V250-C1000-20.cnf",33.333333333333336,
"random","HG-3SAT-V250-C1000-21.cnf",30.933333333333334,
"random","HG-3SAT-V250-C1000-22.cnf",32.4,
"random","HG-3SAT-V250-C1000-23.cnf",31.6,
"random","HG-3SAT-V250-C1000-24.cnf",32.333333333333336,
"random","HG-3SAT-V250-C1000-3.cnf",32.6,
"random","HG-3SAT-V250-C1000-4.cnf",33.2,
"random","HG-3SAT-V250-C1000-5.cnf",32.86666666666667,
"random","HG-3SAT-V250-C1000-6.cnf",32,
"random","HG-3SAT-V250-C1000-7.cnf",31.733333333333334,
"random","HG-3SAT-V250-C1000-8.cnf",34.07142857142857,
"random","HG-3SAT-V250-C1000-9.cnf",32.13333333333333,
"random","HG-3SAT-V300-C1200-1.cnf",42.4,
"random","HG-3SAT-V300-C1200-10.cnf",40.8,
"random","HG-3SAT-V300-C1200-100.cnf",43.2,
"random","HG-3SAT-V300-C1200-11.cnf",43.6,
"random","HG-3SAT-V300-C1200-12.cnf",44.6,
"random","HG-3SAT-V300-C1200-13.cnf",42.53333333333333,
"random","HG-3SAT-V300-C1200-14.cnf",42,
"random","HG-3SAT-V300-C1200-15.cnf",43.86666666666667,
"random","HG-3SAT-V300-C1200-16.cnf",42.8,
"random","HG-3SAT-V300-C1200-17.cnf",43.46666666666667,
"random","HG-3SAT-V300-C1200-18.cnf",43.86666666666667,
"random","HG-3SAT-V300-C1200-19.cnf",43.93333333333333,
"random","HG-3SAT-V300-C1200-2.cnf",44.4,
"random","HG-3SAT-V300-C1200-20.cnf",41.333333333333336,
"random","HG-3SAT-V300-C1200-21.cnf",44.6,
"random","HG-3SAT-V300-C1200-22.cnf",42.733333333333334,
"random","HG-3SAT-V300-C1200-23.cnf",44.13333333333333,
"random","HG-3SAT-V300-C1200-24.cnf",42.266666666666666,
"random","HG-3SAT-V300-C1200-3.cnf",43.733333333333334,
"random","HG-3SAT-V300-C1200-4.cnf",43.13333333333333,
"random","HG-3SAT-V300-C1200-5.cnf",42.333333333333336,
"random","HG-3SAT-V300-C1200-6.cnf",42,
"random","HG-3SAT-V300-C1200-7.cnf",42.53333333333333,
"random","HG-3SAT-V300-C1200-8.cnf",44.4,
"random","HG-3SAT-V300-C1200-9.cnf",43,
"random","HG-4SAT-V100-C900-14.cnf",9.714285714285714,"2"
"random","HG-4SAT-V100-C900-19.cnf",8.428571428571429,"2"
"random","HG-4SAT-V100-C900-2.cnf",10.466666666666667,"2"
"random","HG-4SAT-V100-C900-20.cnf",9.714285714285714,"2"
"random","HG-4SAT-V100-C900-23.cnf",9.857142857142858,"2"
"random","HG-4SAT-V100-C900-4.cnf",10,"2"
"random","HG-4SAT-V100-C900-7.cnf",10.214285714285714,"2"
"random","HG-4SAT-V150-C1350-1.cnf",17.6,
"random","HG-4SAT-V150-C1350-10.cnf",19.133333333333333,
"random","HG-4SAT-V150-C1350-100.cnf",18.466666666666665,
"random","HG-4SAT-V150-C1350-11.cnf",18.4,
"random","HG-4SAT-V150-C1350-12.cnf",19.333333333333332,
"random","HG-4SAT-V150-C1350-13.cnf",17,
"random","HG-4SAT-V150-C1350-14.cnf",18.266666666666666,
"random","HG-4SAT-V150-C1350-15.cnf",16.8,
"random","HG-4SAT-V150-C1350-16.cnf",17.333333333333332,
"random","HG-4SAT-V150-C1350-17.cnf",16.333333333333332,
"random","HG-4SAT-V150-C1350-18.cnf",17.733333333333334,
"random","HG-4SAT-V150-C1350-19.cnf",16.933333333333334,
"random","HG-4SAT-V150-C1350-2.cnf",20.6,
"random","HG-4SAT-V150-C1350-20.cnf",18.6,
"random","HG-4SAT-V150-C1350-21.cnf",17.933333333333334,
"random","HG-4SAT-V150-C1350-22.cnf",17.466666666666665,
"random","HG-4SAT-V150-C1350-23.cnf",18.533333333333335,"0"
"random","HG-4SAT-V150-C1350-24.cnf",19.066666666666666,
"random","HG-4SAT-V150-C1350-3.cnf",17.333333333333332,
"random","HG-4SAT-V150-C1350-4.cnf",17.8,
"random","HG-4SAT-V150-C1350-5.cnf",18.266666666666666,
"random","HG-4SAT-V150-C1350-6.cnf",18.2,
"random","HG-4SAT-V150-C1350-7.cnf",17.333333333333332,
"random","HG-4SAT-V150-C1350-8.cnf",18.2,
"random","HG-4SAT-V150-C1350-9.cnf",18.266666666666666,
"random","min1s2v160c640_0.cnf",362.92857142857144,"359"
"random","min1s2v160c640_1.cnf",360.35714285714283,"356"
"random","min1s2v160c640_10.cnf",355.25,"351"
"random","min1s2v160c640_11.cnf",355.2857142857143,"350"
"random","min1s2v160c640_12.cnf",366.7142857142857,"361"
"random","min1s2v160c640_13.cnf",370.7857142857143,"365"
"random","min1s2v160c640_14.cnf",361.2857142857143,"354"
"random","min1s2v160c640_15.cnf",364.92857142857144,"357"
"random","min1s2v160c640_2.cnf",349.92857142857144,"345"
"random","min1s2v160c640_3.cnf",352.7857142857143,"349"
"random","min1s2v160c640_4.cnf",359.7142857142857,"355"
"random","min1s2v160c640_5.cnf",355,"348"
"random","min1s2v160c640_6.cnf",354.2857142857143,"348"
"random","min1s2v160c640_7.cnf",358.64285714285717,"355"
"random","min1s2v160c640_8.cnf",370.57142857142856,"363"
"random","min1s2v160c640_9.cnf",357.85714285714283,"353"
"random","min1s2v160c800_0.cnf",459,"452"
"random","min1s2v160c800_1.cnf",470.2,"463"
"random","min1s2v160c800_10.cnf",462.7142857142857,"457"
